"","Source","Site_name","Site","Core","Habitat_type","Latitude","Longitude","accuracy_flag","accuracy_code","Country","Year_collected","U_depth_m","L_depth_m","Method","OC_perc","N_perc","BD_reported_g_cm3","DOI"
"48","Bulmer et al 2020","RHB 3","tairua upper",3,"saltmarsh",-37.029176,175.832715,"direct from dataset","1","New Zealand",2016,0.02,0.1,"EA",3.539952,0.26,0.59,"https://doi.org/10.3389/fmars.2020.00380"
"49","Bulmer et al 2020","RHB 1","tairua upper",1,"saltmarsh",-37.028766,175.830954,"direct from dataset","1","New Zealand",2016,0.1,0.2,"EA",0.771972,0.05,1,"https://doi.org/10.3389/fmars.2020.00380"
"50","Bulmer et al 2020","RHB 2","tairua upper",2,"saltmarsh",-37.029026,175.83192,"direct from dataset","1","New Zealand",2016,0.1,0.2,"EA",1.51038,0.11,0.6,"https://doi.org/10.3389/fmars.2020.00380"
"51","Bulmer et al 2020","RHB 3","tairua upper",3,"saltmarsh",-37.029176,175.832715,"direct from dataset","1","New Zealand",2016,0.1,0.2,"EA",1.09083,0.05,0.96,"https://doi.org/10.3389/fmars.2020.00380"
"52","Bulmer et al 2020","RHB 1","tairua upper",1,"saltmarsh",-37.028766,175.830954,"direct from dataset","1","New Zealand",2016,0.2,0.3,"EA",0.39,0.02,0.95,"https://doi.org/10.3389/fmars.2020.00380"
"53","Bulmer et al 2020","RHB 2","tairua upper",2,"saltmarsh",-37.029026,175.83192,"direct from dataset","1","New Zealand",2016,0.2,0.3,"EA",0.957879,0.07,0.84,"https://doi.org/10.3389/fmars.2020.00380"
"54","Bulmer et al 2020","RHB 3","tairua upper",3,"saltmarsh",-37.029176,175.832715,"direct from dataset","1","New Zealand",2016,0.2,0.3,"EA",0.867822,0.07,0.97,"https://doi.org/10.3389/fmars.2020.00380"
"55","Bulmer et al 2020","RHB 1","tairua upper",1,"saltmarsh",-37.028766,175.830954,"direct from dataset","1","New Zealand",2016,0.3,0.4,"EA",0.73422,0.03,0.88,"https://doi.org/10.3389/fmars.2020.00380"
"56","Bulmer et al 2020","RHB 2","tairua upper",2,"saltmarsh",-37.029026,175.83192,"direct from dataset","1","New Zealand",2016,0.3,0.4,"EA",0.61185,0.05,0.8,"https://doi.org/10.3389/fmars.2020.00380"
"57","Bulmer et al 2020","RHB 3","tairua upper",3,"saltmarsh",-37.029176,175.832715,"direct from dataset","1","New Zealand",2016,0.3,0.4,"EA",0.589992,0.03,1.15,"https://doi.org/10.3389/fmars.2020.00380"
"58","Bulmer et al 2020","RHB 1","tairua upper",1,"saltmarsh",-37.028766,175.830954,"direct from dataset","1","New Zealand",2016,0.4,0.5,"EA",0.22734,0.04,0.87,"https://doi.org/10.3389/fmars.2020.00380"
"59","Bulmer et al 2020","RHB 2","tairua upper",2,"saltmarsh",-37.029026,175.83192,"direct from dataset","1","New Zealand",2016,0.4,0.5,"EA",0.128405,0.04,1.15,"https://doi.org/10.3389/fmars.2020.00380"
"60","Bulmer et al 2020","RHB 3","tairua upper",3,"saltmarsh",-37.029176,175.832715,"direct from dataset","1","New Zealand",2016,0.4,0.5,"EA",0.05473,0.02,1.45,"https://doi.org/10.3389/fmars.2020.00380"
"61","Bulmer et al 2020","RHB 1","tairua upper",1,"saltmarsh",-37.028766,175.830954,"direct from dataset","1","New Zealand",2016,0.9,1,"EA",0.513536,0.02,1.07,"https://doi.org/10.3389/fmars.2020.00380"
"62","Bulmer et al 2020","RHB 2","tairua upper",2,"saltmarsh",-37.029026,175.83192,"direct from dataset","1","New Zealand",2016,0.9,1,"EA",0.629993,0.03,0.97,"https://doi.org/10.3389/fmars.2020.00380"
"63","Bulmer et al 2020","RHB 3","tairua upper",3,"saltmarsh",-37.029176,175.832715,"direct from dataset","1","New Zealand",2016,0.9,1,"EA",0.505512,0.02,1.13,"https://doi.org/10.3389/fmars.2020.00380"
