"Source","Site_name","Site","Plot","Habitat_type","Latitude","Longitude","accuracy_flag","accuracy_code","Country","Year_collected","Year_collected_end","U_depth_m","L_depth_m","Method","Data_type","OC_perc","BD_reported_g_cm3","Core","SOM_perc","SOM_perc_Heiri","N_perc","Conv_factor","Original_source","Admin_unit","Depth_to_bedrock_m","Treatment","Time_replicate","n_cores","SOM_perc_mean","SOM_perc_sd","OC_perc_mean","OC_perc_sd","OC_perc_se","BD_reported_g_cm3_mean","BD_reported_g_cm3_se","BD_reported_g_cm3_sd","OC_perc_combined","SOM_perc_combined","BD_reported_combined","Horizon_mid_depth_cm","Horizon_bin_cm"
"Bulmer et al 2020","RHB 1","tairua upper",NA,"saltmarsh",-37.028766,175.830954,"direct from dataset",1,"New Zealand",2016,NA,0,0.02,"EA","Core-level",4.98932,0.69,"1",NA,NA,0.6,NA,"Bulmer et al 2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.98932,NA,0.69,1,"0-10cm"
"Bulmer et al 2020","RHB 2","tairua upper",NA,"saltmarsh",-37.029026,175.83192,"direct from dataset",1,"New Zealand",2016,NA,0,0.02,"EA","Core-level",4.43572,0.37,"2",NA,NA,0.49,NA,"Bulmer et al 2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.43572,NA,0.37,1,"0-10cm"
"Bulmer et al 2020","RHB 3","tairua upper",NA,"saltmarsh",-37.029176,175.832715,"direct from dataset",1,"New Zealand",2016,NA,0,0.02,"EA","Core-level",6.32488,0.44,"3",NA,NA,0.62,NA,"Bulmer et al 2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.32488,NA,0.44,1,"0-10cm"
"Bunzel et al 2019","DB TB13-1","Bay of Tumlau",NA,"Salt marsh",54.3642,8.6764,"direct from dataset",1,"Germany",2013,NA,0,0.01,"EA","Core-level",1.79,NA,"TB13-1",NA,NA,NA,NA,"Bunzel et al 2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.79,NA,NA,0.5,"0-10cm"
"Bunzel et al 2019","DB GeoHH-GIE","Eider estuary",NA,"Salt marsh",54.2837,8.8943,"direct from dataset",1,"Germany",2016,NA,0,0.01,"EA","Core-level",4.02,NA,"GeoHH-GIE",NA,NA,NA,NA,"Bunzel et al 2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.02,NA,NA,0.5,"0-10cm"
"Bunzel et al 2019","DB GeoHH-FK","Friedrichskoog",NA,"Salt marsh",54.0431,8.8723,"direct from dataset",1,"Germany",2016,NA,0,0.01,"EA","Core-level",2.3,NA,"GeoHH-FK",NA,NA,NA,NA,"Bunzel et al 2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3,NA,NA,0.5,"0-10cm"
"Bunzel et al 2019","DB GeoHH-KWK","Kaiser-Wilhelm-Koog",NA,"Salt marsh",53.9347,8.9069,"direct from dataset",1,"Germany",2016,NA,0.02,0.03,"EA","Core-level",1.27,NA,"GeoHH-KWK",NA,NA,NA,NA,"Bunzel et al 2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.27,NA,NA,2.5,"0-10cm"
"Burden et al 2018","AB 13.1","Barrow Hill Natural","13.1","Salt marsh",51.797117,0.921222,"direct from dataset",1,"UK",2011,NA,0,0.3,"EA","Core-level",4.387,0.466960113,NA,8.601206462,NA,0.447,NA,"Burden et al 2018",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.387,8.601206462,0.466960113,15,"10-30cm"
"Burden et al 2018","AB 17.1","Brandy Hole Natural","17.1","Salt marsh",51.629647,0.645383,"direct from dataset",1,"UK",2011,NA,0,0.3,"EA","Core-level",3.6804,0.451740467,NA,7.634992086,NA,0.388,NA,"Burden et al 2018",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6804,7.634992086,0.451740467,15,"10-30cm"
"Burden et al 2018","AB 14.1","Ferry Lane (B) Natural","14.1","Salt marsh",51.852865,0.960211,"direct from dataset",1,"UK",2011,NA,0,0.3,"EA","Core-level",4.3929,0.446778365,NA,7.565666237,NA,0.437,NA,"Burden et al 2018",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.3929,7.565666237,0.446778365,15,"10-30cm"
"Burden et al 2018","AB 16.1","North Fambridge Natural","16.1","Salt marsh",51.639013,0.663894,"direct from dataset",1,"UK",2011,NA,0,0.3,"EA","Core-level",2.743,0.62552278,NA,5.630073228,NA,0.313,NA,"Burden et al 2018",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.743,5.630073228,0.62552278,15,"10-30cm"
"Burden et al 2018","AB 12.1","Northey Natural","12.1","Salt marsh",51.719498,0.709383,"direct from dataset",1,"UK",2011,NA,0,0.3,"EA","Core-level",6.1241,0.396175008,NA,11.16756699,NA,0.574,NA,"Burden et al 2018",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.1241,11.16756699,0.396175008,15,"10-30cm"
"Burden et al 2018","AB 11.1","Orplands Natural","11.1","Salt marsh",51.718446,0.859936,"direct from dataset",1,"UK",2011,NA,0,0.3,"EA","Core-level",6.6781,0.362812567,NA,12.3196877,NA,0.597,NA,"Burden et al 2018",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.6781,12.3196877,0.362812567,15,"10-30cm"
"Burden et al 2018","AB 10.1","Tollesbury Natural","10.1","Salt marsh",51.769154,0.836512,"direct from dataset",1,"UK",2011,NA,0,0.3,"EA","Core-level",10.026,0.289320058,NA,18.55690542,NA,0.751,NA,"Burden et al 2018",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.026,18.55690542,0.289320058,15,"10-30cm"
"Burden et al 2018","AB 15.1","Wallasea Island Natural","15.1","Salt marsh",51.621201,0.81135,"direct from dataset",1,"UK",2011,NA,0,0.3,"EA","Core-level",3.6054,0.654973543,NA,5.277846997,NA,0.357,NA,"Burden et al 2018",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6054,5.277846997,0.654973543,15,"10-30cm"
"Burke et al 2022","SAB Baldoyle Estuary 1","Baldoyle Estuary",NA,"Saltmarsh",53.41474,-6.12899,"estimated from GE",1,"Ireland",2020,NA,0,0.05,"EA","Core-level",13.27,0.21,"Baldoyle Estuary 1",28.2,NA,NA,"OC = 0.4*OM + 0.0025*(OM^2)","Burke et al 2022",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.27,28.2,0.21,2.5,"0-10cm"
"Burke et al 2022","SAB Baldoyle Estuary 2","Baldoyle Estuary",NA,"Saltmarsh",53.41535,-6.12868,"estimated from GE",1,"Ireland",2020,NA,0,0.05,"EA","Core-level",5.07,0.32,"Baldoyle Estuary 2",11.8,NA,NA,"OC = 0.4*OM + 0.0025*(OM^2)","Burke et al 2022",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.07,11.8,0.32,2.5,"0-10cm"
"Burke et al 2022","SAB Baldoyle Estuary 3","Baldoyle Estuary",NA,"Saltmarsh",53.41561,-6.12858,"estimated from GE",1,"Ireland",2020,NA,0,0.05,"EA","Core-level",22.69,0.22,"Baldoyle Estuary 3",44.4,NA,NA,"OC = 0.4*OM + 0.0025*(OM^2)","Burke et al 2022",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.69,44.4,0.22,2.5,"0-10cm"
"Burke et al 2022","SAB Baldoyle Estuary 4","Baldoyle Estuary",NA,"Saltmarsh",53.41601,-6.12928,"estimated from GE",1,"Ireland",2020,NA,0,0.05,"EA","Core-level",3.8,0.32,"Baldoyle Estuary 4",9,NA,NA,"OC = 0.4*OM + 0.0025*(OM^2)","Burke et al 2022",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.8,9,0.32,2.5,"0-10cm"
"Burke et al 2022","SAB Baldoyle Estuary 5","Baldoyle Estuary",NA,"Saltmarsh",53.4165,-6.12925,"estimated from GE",1,"Ireland",2020,NA,0,0.05,"EA","Core-level",9.5,0.37,"Baldoyle Estuary 5",21,NA,NA,"OC = 0.4*OM + 0.0025*(OM^2)","Burke et al 2022",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.5,21,0.37,2.5,"0-10cm"
"Burke et al 2022","SAB Baldoyle Estuary 6","Baldoyle Estuary",NA,"Saltmarsh",53.41713,-6.12963,"estimated from GE",1,"Ireland",2020,NA,0,0.05,"EA","Core-level",4.34,0.37,"Baldoyle Estuary 6",10.2,NA,NA,"OC = 0.4*OM + 0.0025*(OM^2)","Burke et al 2022",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.34,10.2,0.37,2.5,"0-10cm"
"Burke et al 2022","SAB Baldoyle Estuary 7","Baldoyle Estuary",NA,"Saltmarsh",53.41788,-6.1297,"estimated from GE",1,"Ireland",2020,NA,0,0.05,"EA","Core-level",9.3,0.16,"Baldoyle Estuary 7",20.6,NA,NA,"OC = 0.4*OM + 0.0025*(OM^2)","Burke et al 2022",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.3,20.6,0.16,2.5,"0-10cm"
"Burke et al 2022","SAB Baldoyle Estuary 8","Baldoyle Estuary",NA,"Saltmarsh",53.41857,-6.13012,"estimated from GE",1,"Ireland",2020,NA,0,0.05,"EA","Core-level",28.62,0.06,"Baldoyle Estuary 8",53.6,NA,NA,"OC = 0.4*OM + 0.0025*(OM^2)","Burke et al 2022",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.62,53.6,0.06,2.5,"0-10cm"
"Burke et al 2022","SAB Baldoyle Estuary 9","Baldoyle Estuary",NA,"Saltmarsh",53.41725,-6.12897,"estimated from GE",1,"Ireland",2020,NA,0,0.05,"EA","Core-level",26.12,0.19,"Baldoyle Estuary 9",49.8,NA,NA,"OC = 0.4*OM + 0.0025*(OM^2)","Burke et al 2022",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.12,49.8,0.19,2.5,"0-10cm"
"Burke et al 2022","SAB Malahide Estuary 1","Malahide Estuary",NA,"Saltmarsh",53.46835,-6.13241,"estimated from GE",1,"Ireland",2021,NA,0,0.05,"EA","Core-level",15.58,0.13,"Malahide Estuary 1",32.4,NA,NA,"OC = 0.4*OM + 0.0025*(OM^2)","Burke et al 2022",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.58,32.4,0.13,2.5,"0-10cm"
"Burke et al 2022","SAB Malahide Estuary 2","Malahide Estuary",NA,"Saltmarsh",53.46835,-6.13311,"estimated from GE",1,"Ireland",2021,NA,0,0.05,"EA","Core-level",8.8,0.11,"Malahide Estuary 2",19.6,NA,NA,"OC = 0.4*OM + 0.0025*(OM^2)","Burke et al 2022",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.8,19.6,0.11,2.5,"0-10cm"
